,lat,lon,pressure,ASL_Sector_Pres,time
0,-69.75,219.0,982.3763427734375,986.0917358398438,1979-01-01
1,-71.25,196.5,973.704345703125,982.9589233398438,1979-02-01
2,-69.75,225.0,972.3016357421875,980.5150756835938,1979-03-01
3,-68.25,273.75,967.7064819335938,979.388427734375,1979-04-01
4,-70.5,191.25,977.467529296875,987.170654296875,1979-05-01
5,-70.5,219.0,966.9012451171875,977.8576049804688,1979-06-01
6,-71.25,249.75,972.69287109375,980.1351318359375,1979-07-01
7,-71.25,258.0,972.41748046875,986.673583984375,1979-08-01
8,-74.25,204.0,972.7762451171875,982.1741943359375,1979-09-01
9,-72.0,252.0,973.361083984375,982.3050537109375,1979-10-01
10,-75.0,202.5,979.155517578125,986.3106689453125,1979-11-01
11,-66.75,268.5,986.1196899414062,993.4609375,1979-12-01
12,-63.0,270.75,987.5421752929688,991.8093872070312,1980-01-01
13,-63.0,282.0,986.8796997070312,992.6488037109375,1980-02-01
14,-75.0,217.5,986.0546875,992.060302734375,1980-03-01
15,-68.25,208.5,985.177490234375,993.1724243164062,1980-04-01
16,-66.0,193.5,979.39990234375,987.6712646484375,1980-05-01
17,-75.75,210.0,977.757080078125,987.9898071289062,1980-06-01
18,-63.75,207.0,982.9752197265625,994.7155151367188,1980-07-01
19,-71.25,201.75,976.080322265625,983.3727416992188,1980-08-01
20,-69.0,258.75,981.47509765625,989.0617065429688,1980-09-01
21,-70.5,221.25,963.6155395507812,973.883056640625,1980-10-01
22,-62.25,292.5,984.1095581054688,991.236572265625,1980-11-01
23,-70.5,272.25,984.7650146484375,989.5640258789062,1980-12-01
24,-70.5,207.75,980.7066650390625,987.2377319335938,1981-01-01
25,-67.5,279.75,976.925048828125,984.4423217773438,1981-02-01
26,-67.5,220.5,973.2862548828125,985.951904296875,1981-03-01
27,-72.75,202.5,988.1905517578125,994.025146484375,1981-04-01
28,-75.0,195.0,980.0342407226562,988.9749145507812,1981-05-01
29,-70.5,219.75,971.875,984.018798828125,1981-06-01
30,-71.25,230.25,978.3023681640625,987.559326171875,1981-07-01
31,-68.25,273.0,978.2528686523438,990.2495727539062,1981-08-01
32,-72.0,282.0,984.20703125,991.7852783203125,1981-09-01
33,-72.0,210.0,975.8416137695312,980.21826171875,1981-10-01
34,-68.25,253.5,968.5850830078125,975.8566284179688,1981-11-01
35,-71.25,230.25,974.7058715820312,982.952392578125,1981-12-01
36,-64.5,267.0,983.7931518554688,988.8849487304688,1982-01-01
37,-66.0,234.0,979.2869262695312,984.33447265625,1982-02-01
38,-67.5,276.75,973.9755249023438,981.0094604492188,1982-03-01
39,-70.5,270.0,968.3124389648438,980.0628662109375,1982-04-01
40,-68.25,261.75,976.5408325195312,985.4583129882812,1982-05-01
41,-73.5,204.75,975.4827880859375,984.9717407226562,1982-06-01
42,-69.0,207.0,981.7872924804688,989.8258666992188,1982-07-01
43,-72.75,196.5,966.6837768554688,983.4894409179688,1982-08-01
44,-73.5,216.0,968.780029296875,980.0487670898438,1982-09-01
45,-72.75,249.75,975.8331298828125,984.2241821289062,1982-10-01
46,-65.25,174.0,974.4219360351562,984.7947387695312,1982-11-01
47,-61.5,277.5,982.179931640625,993.3333740234375,1982-12-01
48,-63.0,277.5,985.3837280273438,995.591552734375,1983-01-01
49,-72.75,256.5,985.1873168945312,992.9172973632812,1983-02-01
50,-69.0,207.75,975.54638671875,983.2852783203125,1983-03-01
51,-69.75,221.25,966.1624755859375,980.164306640625,1983-04-01
52,-67.5,210.0,971.342529296875,980.0887451171875,1983-05-01
53,-71.25,201.75,980.5413208007812,989.18359375,1983-06-01
54,-70.5,234.75,971.4625854492188,980.4075927734375,1983-07-01
55,-72.0,219.75,968.5469360351562,978.2579956054688,1983-08-01
56,-71.25,242.25,976.77392578125,985.5239868164062,1983-09-01
57,-74.25,202.5,960.132080078125,973.3408813476562,1983-10-01
58,-69.75,261.0,969.797119140625,978.0196533203125,1983-11-01
59,-69.75,246.0,977.53955078125,984.6046142578125,1983-12-01
60,-64.5,256.5,981.79150390625,991.9784545898438,1984-01-01
61,-63.75,285.0,983.7705688476562,989.42333984375,1984-02-01
62,-68.25,249.75,975.036376953125,982.8046875,1984-03-01
63,-72.0,198.0,976.03515625,981.7275390625,1984-04-01
64,-69.0,209.25,980.4636840820312,989.4364624023438,1984-05-01
65,-73.5,195.75,975.8091430664062,986.3853149414062,1984-06-01
66,-74.25,209.25,971.736572265625,984.5701904296875,1984-07-01
67,-72.0,255.75,974.628173828125,986.0869140625,1984-08-01
68,-72.0,254.25,971.2902221679688,983.385986328125,1984-09-01
69,-74.25,191.25,971.5077514648438,984.0700073242188,1984-10-01
70,-70.5,215.25,973.8018188476562,978.487548828125,1984-11-01
71,-61.5,240.0,984.820068359375,991.5034790039062,1984-12-01
72,-66.75,268.5,984.7268676757812,989.3687133789062,1985-01-01
73,-64.5,282.0,982.1417846679688,987.0791625976562,1985-02-01
74,-69.75,225.0,974.73974609375,982.3692626953125,1985-03-01
75,-70.5,207.75,975.6876831054688,981.5247192382812,1985-04-01
76,-73.5,200.25,979.9268798828125,989.04248046875,1985-05-01
77,-75.0,207.0,979.2544555664062,990.9254760742188,1985-06-01
78,-72.75,277.5,971.4456176757812,983.8408203125,1985-07-01
79,-69.75,245.25,968.3279418945312,978.2793579101562,1985-08-01
80,-68.25,253.5,968.726318359375,973.6807250976562,1985-09-01
81,-74.25,200.25,969.3309326171875,979.8351440429688,1985-10-01
82,-74.25,209.25,969.544189453125,977.7340698242188,1985-11-01
83,-69.75,255.75,974.2312622070312,979.57666015625,1985-12-01
84,-62.25,285.75,981.9073486328125,986.6715087890625,1986-01-01
85,-68.25,242.25,977.5409545898438,988.744384765625,1986-02-01
86,-67.5,241.5,979.4691162109375,987.7984619140625,1986-03-01
87,-73.5,225.0,977.2061767578125,984.2377319335938,1986-04-01
88,-66.0,181.5,979.5510864257812,995.644775390625,1986-05-01
89,-63.0,286.5,975.9771728515625,994.7147827148438,1986-06-01
90,-75.0,213.0,978.549560546875,985.6981811523438,1986-07-01
91,-70.5,279.75,978.3447875976562,986.9014282226562,1986-08-01
92,-76.5,207.75,974.8753662109375,984.4859008789062,1986-09-01
93,-72.75,216.0,966.6456298828125,978.7806396484375,1986-10-01
94,-75.75,199.5,974.8993530273438,984.7649536132812,1986-11-01
95,-72.75,206.25,977.2669677734375,983.5868530273438,1986-12-01
96,-66.0,258.75,979.59912109375,988.7634887695312,1987-01-01
97,-67.5,261.0,986.1761474609375,992.0073852539062,1987-02-01
98,-70.5,272.25,975.355712890625,987.4526977539062,1987-03-01
99,-65.25,249.0,972.8115844726562,982.0299072265625,1987-04-01
100,-68.25,241.5,976.2103271484375,982.1961059570312,1987-05-01
101,-72.75,195.75,983.8411865234375,989.8929443359375,1987-06-01
102,-72.0,200.25,984.9810791015625,994.6868896484375,1987-07-01
103,-72.0,192.0,970.2081298828125,984.4002075195312,1987-08-01
104,-69.75,196.5,980.8435668945312,987.8478393554688,1987-09-01
105,-69.75,228.75,969.3648681640625,977.5780639648438,1987-10-01
106,-66.75,267.75,969.0089111328125,978.1654663085938,1987-11-01
107,-68.25,234.75,978.8165893554688,983.8037109375,1987-12-01
108,-69.75,232.5,986.3767700195312,990.555908203125,1988-01-01
109,-68.25,263.25,977.7146606445312,985.9534301757812,1988-02-01
110,-67.5,271.5,976.6581420898438,984.324462890625,1988-03-01
111,-72.0,212.25,968.7997436523438,982.875732421875,1988-04-01
112,-63.75,213.0,970.66015625,983.1349487304688,1988-05-01
113,-62.25,210.0,979.48046875,985.8865356445312,1988-06-01
114,-76.5,205.5,974.2213134765625,984.994140625,1988-07-01
115,-73.5,195.75,969.88330078125,988.6528930664062,1988-08-01
116,-70.5,240.0,974.9757080078125,982.7894287109375,1988-09-01
117,-69.75,231.0,979.922607421875,987.8661499023438,1988-10-01
118,-68.25,225.0,973.0758056640625,978.8549194335938,1988-11-01
119,-70.5,195.0,979.9466552734375,984.5223388671875,1988-12-01
120,-65.25,256.5,978.4520874023438,984.45654296875,1989-01-01
121,-66.75,252.0,972.9344482421875,979.8043823242188,1989-02-01
122,-70.5,195.0,974.811767578125,980.518310546875,1989-03-01
123,-66.75,213.0,978.9945068359375,987.09423828125,1989-04-01
124,-72.75,225.75,964.5238037109375,974.7470703125,1989-05-01
125,-69.75,213.75,969.2687377929688,976.9561157226562,1989-06-01
126,-71.25,252.0,969.4566650390625,979.8786010742188,1989-07-01
127,-71.25,234.0,975.5181274414062,985.677734375,1989-08-01
128,-72.75,225.75,975.3387451171875,984.0996704101562,1989-09-01
129,-69.75,270.0,969.597900390625,977.2315673828125,1989-10-01
130,-69.75,241.5,969.6995849609375,976.5997924804688,1989-11-01
131,-71.25,202.5,984.8794555664062,988.8093872070312,1989-12-01
132,-63.75,178.5,984.1561889648438,989.0125732421875,1990-01-01
133,-67.5,230.25,967.0156860351562,977.6641235351562,1990-02-01
134,-66.75,207.0,976.7061157226562,981.4074096679688,1990-03-01
135,-68.25,197.25,981.849365234375,992.3141479492188,1990-04-01
136,-61.5,170.25,982.4271850585938,992.1568603515625,1990-05-01
137,-72.0,255.75,974.338623046875,986.1385498046875,1990-06-01
138,-65.25,254.25,975.6947021484375,988.2225341796875,1990-07-01
139,-72.0,222.0,972.2550048828125,981.6148071289062,1990-08-01
140,-74.25,213.75,968.95654296875,978.8682250976562,1990-09-01
141,-68.25,276.75,969.07666015625,976.32275390625,1990-10-01
142,-71.25,282.0,969.202392578125,981.3980712890625,1990-11-01
143,-72.0,208.5,978.6964721679688,985.2938842773438,1990-12-01
144,-67.5,274.5,975.566162109375,983.0438842773438,1991-01-01
145,-71.25,203.25,982.576904296875,987.3683471679688,1991-02-01
146,-72.75,231.75,976.950439453125,987.01123046875,1991-03-01
147,-72.0,228.0,980.530029296875,987.0521850585938,1991-04-01
148,-66.0,171.0,978.3292236328125,992.633544921875,1991-05-01
149,-70.5,197.25,982.37060546875,992.061767578125,1991-06-01
150,-69.75,206.25,981.88330078125,989.82958984375,1991-07-01
151,-71.25,270.0,972.91748046875,984.5487670898438,1991-08-01
152,-71.25,216.0,971.5289306640625,983.120849609375,1991-09-01
153,-73.5,193.5,975.9801025390625,987.7073974609375,1991-10-01
154,-70.5,271.5,974.85986328125,984.2548217773438,1991-11-01
155,-69.0,191.25,990.71484375,995.9363403320312,1991-12-01
156,-63.75,258.0,982.8904418945312,989.5720825195312,1992-01-01
157,-63.75,174.0,984.940185546875,994.1043090820312,1992-02-01
158,-67.5,186.75,977.0535888671875,989.1419677734375,1992-03-01
159,-69.75,237.75,977.9972534179688,985.1486206054688,1992-04-01
160,-66.75,199.5,986.7793579101562,994.997802734375,1992-05-01
161,-74.25,209.25,990.6470336914062,998.7342529296875,1992-06-01
162,-70.5,216.0,972.3214111328125,983.3106079101562,1992-07-01
163,-68.25,261.75,976.6072387695312,983.6970825195312,1992-08-01
164,-76.5,205.5,969.7857666015625,981.4248046875,1992-09-01
165,-66.75,255.0,973.4176025390625,978.9558715820312,1992-10-01
166,-72.0,243.75,975.9249267578125,982.4423217773438,1992-11-01
167,-68.25,261.75,979.8548583984375,985.6839599609375,1992-12-01
168,-65.25,265.5,991.4423217773438,997.462890625,1993-01-01
169,-75.0,204.75,975.116943359375,985.236083984375,1993-02-01
170,-71.25,282.0,982.6842041015625,989.9061889648438,1993-03-01
171,-72.0,219.75,978.418212890625,985.8816528320312,1993-04-01
172,-73.5,216.0,979.5186157226562,985.1688842773438,1993-05-01
173,-66.0,183.75,973.2664184570312,986.1452026367188,1993-06-01
174,-76.5,204.75,970.5175170898438,979.1526489257812,1993-07-01
175,-76.5,205.5,975.790771484375,982.7015991210938,1993-08-01
176,-71.25,244.5,969.419921875,978.5833740234375,1993-09-01
177,-68.25,186.75,967.3928833007812,978.5535888671875,1993-10-01
178,-66.75,266.25,968.6924438476562,978.7427978515625,1993-11-01
179,-69.0,258.0,981.6177368164062,985.7617797851562,1993-12-01
180,-66.75,265.5,980.134521484375,984.37353515625,1994-01-01
181,-68.25,251.25,976.1057739257812,983.2362670898438,1994-02-01
182,-74.25,209.25,976.4716186523438,985.9912719726562,1994-03-01
183,-69.0,214.5,974.4544677734375,983.1680908203125,1994-04-01
184,-63.75,217.5,992.7249755859375,996.3621826171875,1994-06-01
185,-73.5,195.75,987.7837524414062,993.5746459960938,1994-07-01
186,-69.0,251.25,965.5734252929688,974.2749633789062,1994-08-01
187,-70.5,281.25,973.0672607421875,987.4305419921875,1994-09-01
188,-72.75,201.75,972.4923706054688,986.83447265625,1994-10-01
189,-62.25,270.0,978.8829956054688,983.7732543945312,1994-11-01
190,-69.75,187.5,978.2670288085938,986.24365234375,1994-12-01
191,-68.25,267.0,973.4500732421875,981.2456665039062,1995-01-01
192,-68.25,246.75,980.6260986328125,986.5802612304688,1995-02-01
193,-69.75,276.0,979.1810302734375,989.3504028320312,1995-03-01
194,-66.75,260.25,972.872314453125,984.0257568359375,1995-04-01
195,-70.5,201.0,976.2003784179688,982.9282836914062,1995-05-01
196,-60.75,293.25,987.934814453125,1000.8604736328125,1995-07-01
197,-70.5,210.0,978.8772583007812,989.9217529296875,1995-08-01
198,-72.75,201.75,971.9654541015625,979.995849609375,1995-09-01
199,-69.0,183.75,973.2452392578125,981.4077758789062,1995-10-01
200,-69.75,249.0,970.9003295898438,978.148681640625,1995-11-01
201,-70.5,251.25,974.4671630859375,981.5908203125,1995-12-01
202,-69.0,225.0,979.3604125976562,986.3567504882812,1996-01-01
203,-71.25,260.25,981.3055419921875,989.7559204101562,1996-02-01
204,-68.25,260.25,975.1381225585938,983.1828002929688,1996-03-01
205,-68.25,233.25,973.055908203125,982.0618896484375,1996-04-01
206,-66.0,229.5,975.4813842773438,980.5575561523438,1996-05-01
207,-73.5,200.25,975.0618896484375,988.2184448242188,1996-06-01
